AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);LATITUDE;LONGITUDE
SNJN;JANUÁRIA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -15.473799705505371;-44.385501861572266
SNMK;JAÍBA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -15.093000411987305;-43.97909927368164
SNMZ;PORTO DE MOZ;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.7414499521255493;-52.23609924316406
SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.6365300416946411;-50.443599700927734
SNYA;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.4919439554214478;-52.57833480834961
SSOU;ARIPUANÃ;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -17.036942;-46.260277
SWJN;JUÍNA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -11.419444;-58.701668
SWTS;TANGARÁ DA SERRA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.661999702500001;-57.4435005188
SSCP;CORNÉLIO PROCÓPIO;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.15250015258789;-50.602500915527344
SSCT;CIANORTE;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.691499710083008;-52.64189910888672
SSGY;GUAÍRA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -24.081100463867188;-54.19169998168945
SSKM;CAMPO MOURÃO;PR;SUL;BRASIL;AMÉRICA DO SUL; -24.009199142499998;-52.3568000793
SSOG;ARAPONGAS;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.3529;-51.491699
SSPG;PARANAGUÁ;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.54010009765625;-48.53120040893555
SSPI;PARANAVAÍ;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.08989906311035;-52.48849868774414
SSUV;UNIÃO DA VITÓRIA;PR;SUL;BRASIL;AMÉRICA DO SUL; -26.2334;-51.067797
SSVL;TELÊMACO BORBA;PR;SUL;BRASIL;AMÉRICA DO SUL; -22.521667;-54.677776
SSSB;SÃO BORJA;RS;SUL;BRASIL;AMÉRICA DO SUL; -28.6549;-56.034599
KIWA;"MESA; ARIZONA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.30780029;-111.6549988
LPPD;"PONTA DELGADA; SÃO MIGUEL ISLAND";;;PORTUGAL;EUROPA; 37.7411994934;-25.6979007721
LTFM;ISTANBUL;;;TURQUIA;EUROPA; 41.275278;28.751944
GQNO;"NOUAKCHOTT; MAURITÂNIA";;;MAURITÂNIA;ÁFRICA; 18.31;-15.9697222
CYMX;"MONTREAL; QUEBEC";;;CANADÁ;AMÉRICA DO NORTE; 45.679501;-74.038696
FIMP;PLAINE MAGNIEN;;;MAURÍCIA;ÁFRICA; -20.430201;57.683601
VCBI;COLOMBO;;;SRI LANKA;ÁSIA; 7.180759906768799;79.88410186767578
WIHH;JAKARTA;;;INDONÉSIA;ÁSIA; -6.266610145568848;106.89099884033203
YPPH;"REDCLIFFE; WESTERN AUSTRALIA";;;AUSTRÁLIA;OCEANIA; -31.94029998779297;115.96700286865234
FZAA;KINSHASA;;;REPÚBLICA DEMOCRÁTICA DO CONGO;ÁFRICA; -4.38575;15.4446
ZSQD;"QINGDAO; SHANDONG";;;CHINA;ÁSIA; 36.2661018372;120.374000549
ZSHC;"HANGZHOU; ZHEJIANG";;;CHINA;ÁSIA; 30.22949981689453;120.43399810791016
ZSPD;SHANGHAI;;;CHINA;ÁSIA; 31.143400192260742;121.80500030517578
KGUS;"PERU; INDIANA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.648101806599996;-86.1520996094
SBAC;ARACATI;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -4.568611;-37.804722
ZBHH;"HOHHOT; INNER MONGOLIA";;;CHINA;ÁSIA; 40.851398;111.823997
MMVA;"VILLAHERMOSA; TABASCO";;;MÉXICO;AMÉRICA DO NORTE; 17.996999740600586;-92.81739807128906
UAKK;KARAGANDA;;;CAZAQUISTÃO;ÁSIA; 49.670799255371094;73.33439636230469
OAKB;KABUL;;;AFEGANISTÃO;ÁSIA; 34.565899;69.212303
HKMO;MOMBASA;;;QUÊNIA;ÁFRICA; -4.034830093383789;39.594200134277344
ZSNJ;"NANJING; JIANGSU";;;CHINA;ÁSIA; 31.742000579833984;118.86199951171875
SPJL;"PUNO/JULIACA; PUNO REGION";;;PERU;AMÉRICA DO SUL; -15.467100143432617;-70.158203125
KLRD;"LAREDO; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 27.543800354003906;-99.46160125732422
SDZG;TAUÁ;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.9334;-40.2975
SNIG;IGUATU;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -6.346640110015869;-39.293800354003906
SNOB;SOBRAL;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -3.67889;-40.336802
SNWS;CRATEÚS;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.211349964141846;-40.704200744628906
SWBE;SÃO BENEDITO;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -4.0428;-40.8938
SBJC;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.4141600132;-48.4607009888
SNTS;PATOS;PB;NORDESTE;BRASIL;AMÉRICA DO SUL; -7.038990020751953;-37.2515983581543
SDWQ;ALENQUER;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.917427;-54.725636
SNMA;MONTE ALEGRE;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.9958000183105469;-54.07419967651367
SNRJ;BREJO;MA;NORDESTE;BRASIL;AMÉRICA DO SUL; -3.6669440269470215;-42.83388900756836
SDAG;ANGRA DOS REIS;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.975299835205078;-44.307098388671875
SISO;CHAVES;PA;NORTE;BRASIL;AMÉRICA DO SUL; -0.091666996479034;-49.580554962158
SWFN;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.0727779865264893;-60.02111053466797
SDPA;MANGARATIBA;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.927499771118164;-44.08000183105469
SNSG;SALGUEIRO;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -8.047160148620605;-39.13639831542969
SWRF;PEDREIRAS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.183611;-57.983891
SSSK;CODÓ;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;  -4.510966;-43.918297
SNGA;GUARAPARI;ES;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.646499633800005;-40.491901397700005
SSCN;CANELA;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.37019920349121;-50.832000732421875
SSTE;TORRES;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.412848;-49.804381
SDIM;ITANHAÉM;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -24.164722442626953;-46.78555679321289
ENGM;"GARDERMOEN (NEAR OSLO); AKERSHUS";;;NORUEGA;EUROPA; 60.193901062012;11.100399971008
OKBK;"AL-MAQWA; NEAR KUWAIT CITY";;;KUWAIT;ÁSIA; 29.226600646972656;47.96889877319336
LGAT;ATENAS;;;GRÉCIA;EUROPA; 37.893299;23.726101
SANU;"SAN JUAN; SAN JUAN PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -31.571501;-68.418198
TFFR;GRANDE-TERRE;;;GUADALUPE;AMÉRICA DO NORTE; 16.265301;-61.531799
SDNM;NOVA MUTUM;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -22.447500228881836;-43.128334045410156
SIZX;JUARA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -11.2966;-57.5495
SWBG;PONTES E LACERDA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.1934;-59.3848
SWPY;PRIMAVERA DO LESTE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.565555572509766;-54.33777618408203
SILC;LUCAS DO RIO VERDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.037861;-55.95025
MKJS;MONTEGO BAY;;;JAMAICA;AMÉRICA CENTRAL; 18.503700256347656;-77.91339874267578
WADD;"DENPASAR; BALI";;;INDONÉSIA;ÁSIA; -8.7481698989868;115.16699981689
ZGGG;"GUANGZHOU; GUANGDONG";;;CHINA;ÁSIA; 23.39240074157715;113.29900360107422
ZSAM;"XIAMEN; FUJIAN";;;CHINA;ÁSIA; 24.54400062561035;118.12799835205078
KHDO;"HONDO; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 29.35950088501;-99.176696777344
SYEC;OGLE;;;GUIANA;AMÉRICA DO SUL; 6.806764;-58.103488
LEPA;ISLAS BALEARES;;;ESPANHA;EUROPA; 39.551700592;2.73881006241
USSS;YEKATERINBURG;;;RÚSSIA;EUROPA; 56.743099212646;60.802700042725
VOHS;"HYDERABAD; INDIA";;;ÍNDIA;ÁSIA; 17.231318;78.429855
FOOL;LIBREVILLE;;;GABÃO;ÁFRICA; 0.458600014448;9.412280082699999
SVSO;SANTO DOMINGO;;;VENEZUELA;AMÉRICA DO SUL; 7.56538;-72.035103
LATI;TIRANA;;;ALBÂNIA;EUROPA; 41.4146995544;19.7206001282
UAAA;ALMATY;;;CAZAQUISTÃO;ÁSIA; 43.35210037231445;77.04049682617188
ZSJN;"JINAN; SHANDONG";;;CHINA;ÁSIA; 36.857200622558594;117.21600341796875
KAUH;"AURORA; NEBRASKA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.89410019;-97.99459839
SNCX;COLATINA;ES;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.48699951171875;-40.57939910888672
ZGSZ;"SHENZHEN; GUANGDONG";;;CHINA;ÁSIA; 22.639299392700195;113.81099700927734
LYBE;BELGRADE;;;SÉRVIA;EUROPA; 44.8184013367;20.3090991974
UCFM;BISHKEK;;;QUIRGUISTÃO;ÁSIA;  43.053595;74.469796
VMMC;TAIPA;;;MACAU;ÁSIA; 22.149599;113.592003
KGTF;"GREAT FALLS; MONTANA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 47.48199844;-111.3710022
